id_company,company
1,ACESITA
2,ALPARGATAS
3,AMADEO ROSSI
4,AMERICA SUL
5,AQUATEC
6,ARACRUZ
7,AUTEL
8,AVIPAL
9,BAMERIND BR
10,BAMERIND PAR
11,BAMERIND SEG
12,BANDEIR INV
13,BANESPA
14,BANESTADO
15,BARDELLA
16,BCN
17,BELPRATO
18,BIC CALOI
19,BRADESCO
20,BRAHMA
21,BRASIL
22,BRASMOTOR
23,CAEMI METAL
24,CASA ANGLO
25,CBV IND MEC
26,CELESC
27,CEMIG
28,CERJ
29,CESP
30,CEVAL
31,CHAPECO
32,CIA HERING
33,CIBRAN
34,CIM ITAU
35,COFAP
36,COLDEX
37,COPEL
38,COPENE
39,COPESUL
40,CORBETTA
41,COSIGUA
42,COSIPA
43,D H B
44,DOCAS
45,DURATEX
46,EBERLE
47,ELETROBRAS
48,ELUMA
49,ERICSSON
50,ESTRELA
51,ETERNIT
52,F CATAGUAZES
53,F GUIMARAES
54,FATOR
55,FERTIBRAS
56,FERTISUL
57,FIBAM
58,FORJA TAURUS
59,FOSFERTIL
60,FRAS-LE
61,FRIGOBRAS
62,GLASSLITE
63,HABITASUL
64,I V I
65,IMPERIO
66,INEPAR
67,IOCHP-MAXION
68,IPIRANGA DIS
69,IPIRANGA PET
70,IPIRANGA REF
71,ITAUBANCO
72,ITAUSA
73,ITAUTEC
74,J B DUARTE
75,KEPLER WEBER
76,KLABIN
77,LABO
78,LIGHT
79,LOJAS AMERIC
80,MADEIRIT
81,MANAH
82,MANASA
83,MANGELS INDL
84,MANNESMANN
85,MENDES JR
86,MET GERDAU
87,METAL LEVE
88,MINUPAR
89,NACIONAL
90,OLMA
91,PANVEL
92,PAPEL SIMAO
93,PARAIBUNA
94,PARANAPANEMA
95,PAUL F LUZ
96,PERDIGAO
97,PETROBRAS
98,PETROBRAS BR
99,PETTENATI
100,PIRELLI PNEU
101,POLIALDEN
102,PROMETAL
103,PRONOR
104,RANDON PART
105,REAL
106,REAL CONS
107,REAL DE INV
108,REAL PART
109,REFRIPAR
110,REN HERMANN
111,RHEEM
112,RHODIA-STER
113,RIPASA
114,SADE VIGESA
115,SADIA CONCOR
116,SALGEMA
117,SAMITRI
118,SCHLOSSER
119,SHARP
120,SID GUAIRA
121,SID NACIONAL
122,SID RIOGRAND
123,SID TUBARAO
124,SOLORRICO
125,SOUZA CRUZ
126,SUPERGASBRAS
127,SUZANO
128,TECEL S JOSE
129,TEKA
130,TEL B CAMPO
131,TELEBRAS
132,TELEPAR
133,TELERJ
134,TELESP
135,TUPY
136,UNIPAR
137,USIMINAS
138,VALE R DOCE
139,VIDR SMARINA
140,VOTEC
141,WEG
142,WHIT MARTINS
143,ACOS VILL
144,ADUBOS TREVO
145,AGRIMISA
146,ANTARC PIAUI
147,ARAPUA
148,AZEVEDO
149,BANDEIRANTES
150,BAPTISTA SIL
151,BELGO MINEIR
152,BIOBRAS
153,BUETTNER
154,CAIUA
155,CELG
156,CIQUINE PETR
157,CONTINENTAL
158,COTEMINAS
159,DIXIELALEKLA
160,ECONOMICO
161,ELETROPAULO
162,EMBRAER
163,ENERSUL
164,FERTIZA
165,GAZOLA
166,GRAZZIOTIN
167,GURGEL
168,IGUACU CAFE
169,INDS ROMI
170,ITAP
171,LAM NACIONAL
172,LIMASA
173,LOJAS RENNER
174,MATEC
175,MET BARBARA
176,METISA
177,MICHELETTO
178,MOTO PECAS
179,MULLER
180,MULTIBRAS
181,NITROCARBONO
182,ORION
183,OSA
184,PERDIGAO AGR
185,PETROQ UNIAO
186,REAL CIA INV
187,SUDAMERIS
188,TECTOY
189,TELEMIG
190,TIBRAS
191,TRAFO
192,TRANSBRASIL
193,TREVISA
194,UNIBANCO
195,VARIG
196,VIGOR
197,WEMBLEY
198,WETZEL MET
199,WIEST
200,AGROCERES
201,BAND C F INV
202,BANGU DESENV
203,BANRISUL
204,BEMGE
205,BOMBRIL
206,CAMACARI
207,CASA J SILVA
208,FERBASA
209,INBRAC
210,IND VILLARES
211,JARI
212,KALIL SEHBE
213,LA FONTE FEC
214,MELPAPER
215,MET DUQUE
216,NADIR FIGUEI
217,NORD BRASIL
218,NOROESTE
219,OLVEBRA
220,PERDIGAO ALM
221,POLITENO
222,SANSUY
223,SULTEPA
224,VARGA FREIOS
225,AMAZONIA
226,ARTEX
227,CONST BETER
228,COR RIBEIRO
229,CREMER
230,FICAP/MARVIN
231,FRANGOSUL
232,GRADIENTE
233,GRANOLEO
234,HERCULES
235,IAP
236,MESBLA
237,MOINHO SANT
238,ORNIEX
239,PETROFLEX
240,PETROQUISA
241,RECRUSUL
242,SADIA OESTE
243,SONDOTECNICA
244,SUPERAGRO
245,UCAR CARBON
246,ALBARUS
247,ANTARCT NORD
248,ANTARCTIC MG
249,BARRETTO
250,BESC
251,BRASPEROLA
252,CACIQUE
253,CEMEPE
254,CIMEPAR
255,CONST A LIND
256,DOVA
257,FAB C RENAUX
258,GUARARAPES
259,LACTA
260,MAGNESITA
